,,,,,,,,,,,,,,,,,,,,,
,5,"0,64%","0,88%","1,09%","1,25%","1,42%","1,56%","1,71%","1,84%","1,99%","2,14%","2,29%","2,43%","2,59%","2,77%","2,95%","3,17%","3,40%","3,67%","4,06%",
,6,"0,72%","0,99%","1,22%","1,40%","1,58%","1,72%","1,88%","2,02%","2,17%","2,32%","2,47%","2,60%","2,76%","2,94%","3,11%","3,32%","3,53%","3,78%","4,14%",
,7,"0,79%","1,10%","1,35%","1,55%","1,73%","1,89%","2,06%","2,20%","2,35%","2,50%","2,65%","2,78%","2,94%","3,10%","3,26%","3,46%","3,66%","3,89%","4,22%",
,8,"0,87%","1,20%","1,47%","1,70%","1,89%","2,06%","2,23%","2,38%","2,53%","2,69%","2,83%","2,96%","3,11%","3,27%","3,42%","3,60%","3,78%","3,99%","4,29%",
,9,"0,94%","1,31%","1,60%","1,84%","2,04%","2,22%","2,40%","2,56%","2,71%","2,87%","3,01%","3,14%","3,28%","3,44%","3,57%","3,75%","3,91%","4,10%","4,37%",
,10,"1,02%","1,42%","1,73%","1,99%","2,20%","2,39%","2,58%","2,74%","2,89%","3,05%","3,19%","3,32%","3,46%","3,60%","3,73%","3,89%","4,04%","4,21%","4,44%",
,11,"1,09%","1,53%","1,85%","2,14%","2,36%","2,56%","2,75%","2,92%","3,07%","3,24%","3,37%","3,50%","3,63%","3,77%","3,88%","4,04%","4,17%","4,31%","4,52%",
,12,"1,17%","1,64%","1,98%","2,28%","2,51%","2,72%","2,92%","3,10%","3,25%","3,42%","3,56%","3,68%","3,80%","3,94%","4,04%","4,18%","4,30%","4,42%","4,59%",
,13,"1,24%","1,75%","2,11%","2,43%","2,67%","2,89%","3,09%","3,28%","3,42%","3,60%","3,74%","3,86%","3,98%","4,10%","4,19%","4,32%","4,43%","4,53%","4,67%",
,14,"1,32%","1,85%","2,23%","2,58%","2,82%","3,06%","3,27%","3,46%","3,60%","3,79%","3,92%","4,04%","4,15%","4,27%","4,35%","4,47%","4,55%","4,63%","4,75%",
,15,"1,39%","1,96%","2,36%","2,73%","2,98%","3,23%","3,44%","3,64%","3,78%","3,97%","4,10%","4,21%","4,33%","4,44%","4,50%","4,61%","4,68%","4,74%","4,82%",
